"GEO_ID","H011001","H011002","H011003","H011004","NAME"
"id","Total population in occupied housing units","Total population in occupied housing units!!Owned with a mortgage or a loan","Total population in occupied housing units!!Owned free and clear","Total population in occupied housing units!!Renter occupied","Geographic Area Name"
"8600000US90277","34982","15012","3227","16743","ZCTA5 90277"
"8600000US90278","39939","21079","2798","16062","ZCTA5 90278"
"8600000US90280","94308","42125","4540","47643","ZCTA5 90280"
"8600000US90290","6368","4218","715","1435","ZCTA5 90290"
"8600000US90291","27776","8579","1884","17313","ZCTA5 90291"
"8600000US90292","21546","5598","1693","14255","ZCTA5 90292"
"8600000US90293","12048","5008","773","6267","ZCTA5 90293"
"8600000US90301","35810","10007","1336","24467","ZCTA5 90301"
"8600000US90302","29225","8823","838","19564","ZCTA5 90302"
"8600000US90303","26067","9809","1217","15041","ZCTA5 90303"
"8600000US90304","28028","8930","1065","18033","ZCTA5 90304"
"8600000US90305","14573","8767","1226","4580","ZCTA5 90305"
"8600000US90401","6234","429","93","5712","ZCTA5 90401"
"8600000US90402","12247","6841","2232","3174","ZCTA5 90402"
"8600000US90403","24286","5608","1359","17319","ZCTA5 90403"
"8600000US90404","20310","3756","816","15738","ZCTA5 90404"
"8600000US90405","26840","8790","2041","16009","ZCTA5 90405"
"8600000US90501","42912","16142","3030","23740","ZCTA5 90501"
"8600000US90502","16815","9734","1964","5117","ZCTA5 90502"
"8600000US90503","43874","19341","4899","19634","ZCTA5 90503"
"8600000US90504","31936","16258","4087","11591","ZCTA5 90504"
"8600000US90505","36372","17218","4631","14523","ZCTA5 90505"
"8600000US90506","0","0","0","0","ZCTA5 90506"
"8600000US90601","31920","16658","2851","12411","ZCTA5 90601"
"8600000US90602","24660","8775","1087","14798","ZCTA5 90602"
"8600000US90603","19881","13378","2489","4014","ZCTA5 90603"
"8600000US90604","39223","22627","3346","13250","ZCTA5 90604"
"8600000US90605","40072","23465","3220","13387","ZCTA5 90605"
"8600000US90606","32150","19113","2987","10050","ZCTA5 90606"
"8600000US90620","44657","26886","4625","13146","ZCTA5 90620"
"8600000US90621","34795","11957","1706","21132","ZCTA5 90621"
"8600000US90623","15534","9420","1897","4217","ZCTA5 90623"
"8600000US90630","47656","27549","5543","14564","ZCTA5 90630"
"8600000US90631","67241","33646","6769","26826","ZCTA5 90631"
"8600000US90638","46146","31378","5668","9100","ZCTA5 90638"
"8600000US90640","62149","22927","6197","33025","ZCTA5 90640"
"8600000US90650","103934","61109","9071","33754","ZCTA5 90650"
"8600000US90660","62474","37437","7211","17826","ZCTA5 90660"
"8600000US90670","14673","8366","1686","4621","ZCTA5 90670"
"8600000US90680","29627","12419","2277","14931","ZCTA5 90680"
"8600000US90701","15978","7178","1803","6997","ZCTA5 90701"
"8600000US90703","49289","31571","7974","9744","ZCTA5 90703"
"8600000US90704","4072","512","310","3250","ZCTA5 90704"
