"GEO_ID","H001001","NAME"
"id","Total","Geographic Area Name"
"8600000US90706","24896","ZCTA5 90706"
"8600000US90710","9061","ZCTA5 90710"
"8600000US90712","11155","ZCTA5 90712"
"8600000US90713","9711","ZCTA5 90713"
"8600000US90715","6406","ZCTA5 90715"
"8600000US90716","3652","ZCTA5 90716"
"8600000US90717","8887","ZCTA5 90717"
"8600000US90720","8010","ZCTA5 90720"
"8600000US90723","14572","ZCTA5 90723"
"8600000US90731","23914","ZCTA5 90731"
"8600000US90732","9250","ZCTA5 90732"
"8600000US90740","14303","ZCTA5 90740"
"8600000US90742","556","ZCTA5 90742"
"8600000US90743","256","ZCTA5 90743"
"8600000US90744","14684","ZCTA5 90744"
"8600000US90745","15680","ZCTA5 90745"
"8600000US90746","8271","ZCTA5 90746"
"8600000US90747","0","ZCTA5 90747"
"8600000US90755","4404","ZCTA5 90755"
"8600000US90802","23071","ZCTA5 90802"
"8600000US90803","18682","ZCTA5 90803"
"8600000US90804","15792","ZCTA5 90804"
"8600000US90805","27646","ZCTA5 90805"
"8600000US90806","13072","ZCTA5 90806"
"8600000US90807","13256","ZCTA5 90807"
"8600000US90808","14567","ZCTA5 90808"
"8600000US90810","9709","ZCTA5 90810"
"8600000US90813","17896","ZCTA5 90813"
"8600000US90814","9808","ZCTA5 90814"
"8600000US90815","15409","ZCTA5 90815"
"8600000US90822","4","ZCTA5 90822"
"8600000US90831","0","ZCTA5 90831"
"8600000US91001","13285","ZCTA5 91001"
"8600000US91006","11142","ZCTA5 91006"
"8600000US91007","12750","ZCTA5 91007"
"8600000US91008","640","ZCTA5 91008"
"8600000US91010","8256","ZCTA5 91010"
"8600000US91011","7099","ZCTA5 91011"
"8600000US91016","15781","ZCTA5 91016"
"8600000US91020","3586","ZCTA5 91020"
"8600000US91024","5113","ZCTA5 91024"
"8600000US91030","11116","ZCTA5 91030"
"8600000US91040","7732","ZCTA5 91040"
"8600000US91042","10534","ZCTA5 91042"
"8600000US91046","118","ZCTA5 91046"
"8600000US91101","11873","ZCTA5 91101"
"8600000US91103","9076","ZCTA5 91103"
"8600000US91104","13670","ZCTA5 91104"
"8600000US91105","5704","ZCTA5 91105"
"8600000US91106","11742","ZCTA5 91106"
"8600000US91107","13763","ZCTA5 91107"
"8600000US91108","4562","ZCTA5 91108"
"8600000US91201","8590","ZCTA5 91201"
"8600000US91202","9297","ZCTA5 91202"
"8600000US91203","5407","ZCTA5 91203"
"8600000US91204","5969","ZCTA5 91204"
"8600000US91205","14899","ZCTA5 91205"
"8600000US91206","14041","ZCTA5 91206"
"8600000US91207","4283","ZCTA5 91207"
"8600000US91208","6342","ZCTA5 91208"
"8600000US91210","309","ZCTA5 91210"
"8600000US91214","10919","ZCTA5 91214"
"8600000US91301","9559","ZCTA5 91301"
"8600000US91302","9702","ZCTA5 91302"
"8600000US91303","9502","ZCTA5 91303"
"8600000US91304","17456","ZCTA5 91304"
"8600000US91306","14389","ZCTA5 91306"
"8600000US91307","8556","ZCTA5 91307"
"8600000US91311","14021","ZCTA5 91311"
"8600000US91316","12692","ZCTA5 91316"
"8600000US91320","15438","ZCTA5 91320"
"8600000US91321","11892","ZCTA5 91321"
"8600000US91324","10020","ZCTA5 91324"
"8600000US91325","12488","ZCTA5 91325"
"8600000US91326","12206","ZCTA5 91326"
"8600000US91330","2","ZCTA5 91330"
"8600000US91331","23780","ZCTA5 91331"
"8600000US91335","24158","ZCTA5 91335"
"8600000US91340","8623","ZCTA5 91340"
"8600000US91342","24967","ZCTA5 91342"
"8600000US91343","17619","ZCTA5 91343"
"8600000US91344","17444","ZCTA5 91344"
"8600000US91345","5412","ZCTA5 91345"
"8600000US91350","11336","ZCTA5 91350"
"8600000US91351","10531","ZCTA5 91351"
"8600000US91352","12620","ZCTA5 91352"
"8600000US91354","9926","ZCTA5 91354"
"8600000US91355","13322","ZCTA5 91355"
"8600000US91356","12454","ZCTA5 91356"
"8600000US91360","15515","ZCTA5 91360"
"8600000US91361","8738","ZCTA5 91361"
"8600000US91362","14033","ZCTA5 91362"
"8600000US91364","10975","ZCTA5 91364"
"8600000US91367","18210","ZCTA5 91367"
"8600000US91371","1","ZCTA5 91371"
"8600000US91377","5297","ZCTA5 91377"
"8600000US91381","6848","ZCTA5 91381"
"8600000US91384","7197","ZCTA5 91384"
"8600000US91387","13793","ZCTA5 91387"
"8600000US91390","6742","ZCTA5 91390"
"8600000US91401","15289","ZCTA5 91401"
"8600000US91402","19179","ZCTA5 91402"
"8600000US91403","12051","ZCTA5 91403"
"8600000US91405","17442","ZCTA5 91405"
"8600000US91406","18034","ZCTA5 91406"
"8600000US91411","9788","ZCTA5 91411"
"8600000US91423","15787","ZCTA5 91423"
"8600000US91436","5788","ZCTA5 91436"
"8600000US91501","8686","ZCTA5 91501"
"8600000US91502","5419","ZCTA5 91502"
"8600000US91504","9702","ZCTA5 91504"
"8600000US91505","13850","ZCTA5 91505"
"8600000US91506","7927","ZCTA5 91506"
"8600000US91601","17392","ZCTA5 91601"
"8600000US91602","9946","ZCTA5 91602"
"8600000US91604","15373","ZCTA5 91604"
"8600000US91605","16199","ZCTA5 91605"
"8600000US91606","15676","ZCTA5 91606"
"8600000US91607","13841","ZCTA5 91607"
"8600000US91608","0","ZCTA5 91608"
"8600000US91701","13351","ZCTA5 91701"
"8600000US91702","16224","ZCTA5 91702"
"8600000US91706","18067","ZCTA5 91706"
"8600000US91708","381","ZCTA5 91708"
